location,location_code,year,variant,population_july_thousands,births_thousands,deaths_thousands,life_expectancy_years,under_five_mortality_per_1000
World,900,1950,Estimates,2493092.848,91823.936,48486.892,46.394,227.187
World,900,1951,Estimates,2536927.035,92507.128,48176.162,47.126,221.468
World,900,1952,Estimates,2584086.339,97371.459,47383.364,48.218,213.979
World,900,1953,Estimates,2634106.235,97291.452,47239.575,48.809,208.469
World,900,1954,Estimates,2685894.86,100187.854,46662.428,49.651,203.275
World,900,1955,Estimates,2740213.792,101747.972,46635.655,50.206,197.754
World,900,1956,Estimates,2795409.994,101759.013,46479.062,50.737,192.222
World,900,1957,Estimates,2852618.337,106017.733,46880.774,51.064,188.705
World,900,1958,Estimates,2911249.671,104644.163,46518.263,51.615,184.163
World,900,1959,Estimates,2965950.351,101999.844,50724.513,49.582,202.054
World,900,1960,Estimates,3015470.894,102378.083,54612.44,47.82,216.414
World,900,1961,Estimates,3064869.675,100950.944,49918.925,50.346,193.937
World,900,1962,Estimates,3123374.315,112038.714,46061.446,53.242,170.121
World,900,1963,Estimates,3192807.828,119802.888,46913.208,53.716,165.972
World,900,1964,Estimates,3264487.339,117292.2,46822.882,54.26,162.035
World,900,1965,Estimates,3334533.703,117837.004,48213.55,53.998,162.813
World,900,1966,Estimates,3404041.125,117232.95,47841.523,54.564,159.568
World,900,1967,Estimates,3473412.88,116920.266,47568.793,55.068,156.438
World,900,1968,Estimates,3545187.251,121825.89,47629.246,55.618,151.393
World,900,1969,Estimates,3619491.579,122227.965,47815.953,56,148.216
World,900,1970,Estimates,3694683.794,124135.907,48163.467,56.266,146.119
World,900,1971,Estimates,3769847.865,123739.681,49384.109,56.019,145.484
World,900,1972,Estimates,3844917.68,123554.018,47770.222,57.215,139.694
World,900,1973,Estimates,3920805.042,123563.931,47573.276,57.692,136.844
World,900,1974,Estimates,3996416.096,122709.409,47478.097,58.061,134.701
World,900,1975,Estimates,4070735.277,121030.095,47622.994,58.268,132.441
World,900,1976,Estimates,4144246.377,121322.351,47707.255,58.575,129.931
World,900,1977,Estimates,4217863.796,120786.521,47166.794,59.154,126.933
World,900,1978,Estimates,4292097.502,122140.645,47293.143,59.513,124.285
World,900,1979,Estimates,4368539.528,125000.293,46963.884,60.157,120.793
World,900,1980,Estimates,4447606.236,127446.984,47349.925,60.502,117.767
World,900,1981,Estimates,4528777.306,129715.837,47470.794,60.919,114.709
World,900,1982,Estimates,4612673.421,133206.504,47659.342,61.343,111.541
World,900,1983,Estimates,4697327.573,131967.708,48206.575,61.521,110.609
World,900,1984,Estimates,4782175.519,134365.258,48430.624,61.866,108.182
World,900,1985,Estimates,4868943.465,136373.957,48772.812,62.209,105.61
World,900,1986,Estimates,4958072.838,139301.162,48643.611,62.73,102.36
World,900,1987,Estimates,5049746.397,141346.561,48657.012,63.181,98.845
World,900,1988,Estimates,5141992.542,140985.956,49183.183,63.367,97.878
World,900,1989,Estimates,5234431.732,142249.031,49178.262,63.782,94.759
World,900,1990,Estimates,5327803.11,143461.425,49794.345,63.955,92.828
World,900,1991,Estimates,5418735.891,138306.865,50108.433,64.064,92.65
World,900,1992,Estimates,5505989.816,136591.255,50281.874,64.288,91.031
World,900,1993,Estimates,5591544.797,135632.145,50831.804,64.433,89.066
World,900,1994,Estimates,5675551.255,135142.908,51930.609,64.299,87.884
World,900,1995,Estimates,5758878.982,134850.043,51406.89,64.882,86.089
World,900,1996,Estimates,5842055.734,134321.023,51410.955,65.2,84.432
World,900,1997,Estimates,5924787.816,133985.669,51432.01,65.541,82.522
World,900,1998,Estimates,6007066.69,133857.525,51853.502,65.741,80.922
World,900,1999,Estimates,6089006.339,134058.675,52183.582,66.041,78.191
World,900,2000,Estimates,6171702.993,135758.482,52240.368,66.433,75.533
World,900,2001,Estimates,6254936.459,135379.993,52431.244,66.753,73.184
World,900,2002,Estimates,6337730.342,135396.478,52757.535,67.068,70.709
World,900,2003,Estimates,6420361.634,135700.801,53077.072,67.401,67.984
World,900,2004,Estimates,6503377.772,136596.328,53187.802,67.745,65.694
World,900,2005,Estimates,6586970.132,137166.462,53390.436,68.141,63.01
World,900,2006,Estimates,6671452.015,138469.296,53281.776,68.614,60.302
World,900,2007,Estimates,6757308.781,139935.794,53410.047,69.032,57.829
World,900,2008,Estimates,6844457.662,141758.72,53987.02,69.302,55.75
World,900,2009,Estimates,6932766.416,142968.32,54122.622,69.681,53.841
World,900,2010,Estimates,7021732.148,143354.237,54268.588,70.089,51.626
World,900,2011,Estimates,7110923.765,143878.789,54581.439,70.403,50.403
World,900,2012,Estimates,7201202.485,146054.881,54794.788,70.824,47.661
World,900,2013,Estimates,7291793.585,145014.783,55092.621,71.142,46.051
World,900,2014,Estimates,7381616.244,145268.255,55545.318,71.404,44.76
World,900,2015,Estimates,7470491.872,144333.945,56305.968,71.606,43.601
World,900,2016,Estimates,7558554.526,144854.1,56756.911,71.877,42.189
World,900,2017,Estimates,7645617.954,143601.801,57572.254,72.067,41.12
World,900,2018,Estimates,7729902.781,140332.732,57792.804,72.388,39.883
World,900,2019,Estimates,7811293.698,138596.791,58354.932,72.609,39.058
World,900,2020,Estimates,7887001.292,134719.611,63546.315,71.917,38.282
World,900,2021,Estimates,7954448.391,133448.839,69728.1,70.865,37.798
World,900,2022,Estimates,8021407.192,132475.391,62278.627,72.64,37.793
World,900,2023,Estimates,8091734.93,132110.264,61651.608,73.169,36.326
World,900,2024,Medium,8161972.572,132405.927,62389.498,73.322,36.033
World,900,2025,Medium,8231613.07,132399.173,63135.984,73.518,35.48
